,Lollipop Lane Investments,5,8, $-   ,6.44%,,,,,-1,<--->,<--->,1.0644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CandyCrest Holdings,6,7, $-   ,1.99%,,,,,,-1,1.0199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SwizzleStick Strategies,6,11, $-   ,10.94%,,,,,,-1,<--->,<--->,<--->,<--->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CandyCrest Holdings,7,8, $-   ,1.99%,,,,,,,-1,1.0199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FudgeFund Futures,7,9, $470.44 ,4.21%,,,,,,,-1,<--->,1.0421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Peppermint Profit Partners,7,11, $-   ,8.70%,,,,,,,-1,<--->,<--->,<--->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CandyCrest Holdings,8,9, $-   ,1.99%,,,,,,,,-1,1.0199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lollipop Lane Investments,8,11, $-   ,6.44%,,,,,,,,-1,<--->,<--->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CandyCrest Holdings,9,10, $490.24 ,1.99%,,,,,,,,,-1,1.0199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FudgeFund Futures,9,11, $-   ,4.21%,,,,,,,,,-1,<--->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total Invested in Months -->, $880.55 ,Surplus Funds,, $-   , $250.00 , $-   , $-   , $250.00 , $-   , $-   , $-   , $500.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Req'd Payments,, $-   , $250 , $-   , $-   , $250 , $-   , $-   , $-   , $500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
