,,,,,,,,,,,,,,,,,,,,,
Ship,From,,To ,,Unit Cost,Latitude (X1),Longitude (X2),Latitude (Y1),Longitude (Y2),Distance,Method,Binary,Congestion,Binary,,Nodes,,Inflow,Outflow,Net Flow,Supply/Demand
0,4,Gingerbread Glades,1,Candy Cane Canyon, $14 ,36.54,-90.7,37.5,-102.5,189.18,Slow Steaming Cargo Ships,0,30,0,,,,,,,
0,4,Gingerbread Glades,2,Chocolate Chip Cliffs, $22 ,36.54,-90.7,35.23,-108.66,192.08,Cargo Ships (Heavy Fuel Oil),1,84,1,,,Congestion Level,,,,
0,4,Gingerbread Glades,3,Frosted Fluff Fields, $22 ,36.54,-90.7,44.1,-115.29,203.95,Air Freight,1,101,1,,,>= 70 (high) (1),otherwise low (0),,,
0,5,Molten Mocha Marsh,1,Candy Cane Canyon, $18 ,36.13,-111.4,37.5,-102.5,203.38,Air Freight,1,82,1,,,,,,,
0,5,Molten Mocha Marsh,2,Chocolate Chip Cliffs, $16 ,36.13,-111.4,35.23,-108.66,206.08,Air Freight,1,85,1,,,,,,,
0,5,Molten Mocha Marsh,3,Frosted Fluff Fields, $7 ,36.13,-111.4,44.1,-115.29,217.19,Electric/Hybrid Trucks,0,87,1,,,,,,,
0,5,Molten Mocha Marsh,7,Turkish Delight Tundra, $17 ,36.13,-111.4,41.57,-92.9,199.62,Cargo Ships (Heavy Fuel Oil),1,35,0,,,,,,,
0,6,Pixie Stix Plateau,1,Candy Cane Canyon, $16 ,30.18,-112.83,37.5,-102.5,200.13,Electric/Hybrid Trucks,0,93,1,,,,,,,
0,6,Pixie Stix Plateau,2,Chocolate Chip Cliffs, $21 ,30.18,-112.83,35.23,-108.66,202.87,Diesel Rail,1,28,0,,,,,,,
0,6,Pixie Stix Plateau,3,Frosted Fluff Fields, $9 ,30.18,-112.83,44.1,-115.29,214.14,Air Freight,1,94,1,,,,,,,
0,6,Pixie Stix Plateau,5,Molten Mocha Marsh, $16 ,30.18,-112.83,36.13,-111.4,205.47,Cargo Ships (Heavy Fuel Oil),1,98,1,,,,,,,
0,7,Turkish Delight Tundra,4,Gingerbread Glades, $12 ,41.57,-92.9,36.54,-90.7,185.13,Cargo Ships (Heavy Fuel Oil),1,31,0,,,,,,,
0,7,Turkish Delight Tundra,5,Molten Mocha Marsh, $19 ,41.57,-92.9,36.13,-111.4,199.62,Wind-powered Ships,0,93,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,OBJECTIVE,,Target,,,,,,,
,,,,,,,,,,,,Total Transportation Cost," $243,067.00 "," $213,777.00 ",,,,,,,
,,,,,,,,,,,,Total Distance Traveled," $2,902,018.87 "," $2,899,563.46 ",,,,,,,
,,,,,,,,,,,,Eco-Friendliness,14418,14418,,,,,,,
,,,,,,,,,,,,Congension Levels,6488,6488,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,OBJECTIVE,Totals,Tartget,Deviation,% Deviation,W,Weigthed % Deviation,,,,
,,,,,,,,,,,Total Transportation Cost," $243,067.00 "," $213,777.00 "," $29,290.00 ",13.70%,1,13.70%,,,,
,,,,,,,,,,,Total Distance Traveled," $2,902,018.87 "," $2,899,563.46 "," $2,455.42 ",0.08%,1,0.08%,,,,
,,,,,,,,,,,Eco-Friendliness,14418,14418,0,0.00%,1,0.00%,,,,
,,,,,,,,,,,Congension Levels,6488,6488,0,0.00%,1,0.00%,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Minimax,0.17,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
